
2024-01-04 21:14:23 INFO  Formula1Scraper:15 - Start scraping fromhttps://www.formula1.com/en/results.html/2023/races/1226/abu-dhabi/race-result.html
2024-01-06 17:53:29 INFO  DriverScraper:24 - OK
2024-01-06 17:53:30 INFO  DriverScraper:24 - OK
2024-01-06 17:53:30 INFO  DriverScraper:24 - OK
2024-01-06 17:53:32 INFO  DriverScraper:24 - OK
2024-01-06 17:53:33 INFO  DriverScraper:24 - OK
2024-01-06 17:57:24 INFO  DriverScraper:24 - OK
2024-01-06 17:57:26 INFO  DriverScraper:24 - OK
2024-01-06 17:57:27 INFO  DriverScraper:24 - OK
2024-01-06 17:57:28 INFO  DriverScraper:24 - OK
2024-01-06 17:57:30 INFO  DriverScraper:24 - OK
2024-01-06 17:57:31 INFO  DriverScraper:24 - OK
2024-01-06 17:57:33 INFO  DriverScraper:24 - OK
2024-01-06 17:57:34 INFO  DriverScraper:24 - OK
2024-01-06 17:57:35 INFO  DriverScraper:24 - OK
2024-01-06 17:57:36 INFO  DriverScraper:24 - OK
2024-01-06 17:57:37 INFO  DriverScraper:24 - OK
2024-01-06 17:57:38 INFO  DriverScraper:24 - OK
2024-01-06 17:57:39 INFO  DriverScraper:24 - OK
2024-01-06 17:57:40 INFO  DriverScraper:24 - OK
2024-01-06 17:57:42 INFO  DriverScraper:24 - OK
2024-01-06 17:57:43 INFO  DriverScraper:24 - OK
2024-01-06 17:59:26 INFO  DriverScraper:24 - OK
2024-01-06 17:59:28 INFO  DriverScraper:24 - OK
2024-01-06 18:05:18 INFO  DriverScraper:24 - OK
2024-01-06 18:05:19 INFO  DriverScraper:24 - OK
2024-01-06 18:05:20 INFO  DriverScraper:24 - OK
2024-01-06 18:05:21 INFO  DriverScraper:24 - OK
2024-01-06 18:05:23 INFO  DriverScraper:24 - OK
2024-01-06 18:16:25 INFO  DriverScraper:24 - OK
2024-01-06 18:16:27 INFO  DriverScraper:24 - OK
2024-01-06 18:16:37 INFO  DriverScraper:24 - OK
2024-01-06 18:16:39 INFO  DriverScraper:24 - OK
2024-01-06 18:18:27 INFO  DriverScraper:24 - OK
2024-01-06 18:18:28 INFO  DriverScraper:24 - OK
2024-01-06 18:18:30 INFO  DriverScraper:24 - OK
2024-01-06 18:18:40 INFO  DriverScraper:24 - OK
2024-01-06 18:18:41 INFO  DriverScraper:24 - OK
2024-01-06 18:27:05 INFO  DriverScraper:24 - OK
2024-01-06 18:27:12 INFO  DriverScraper:24 - OK
2024-01-06 18:30:51 INFO  DriverScraper:24 - OK
2024-01-06 18:30:54 INFO  DriverScraper:24 - OK
2024-01-06 18:30:57 INFO  DriverScraper:24 - OK
2024-01-06 18:31:00 INFO  DriverScraper:24 - OK
2024-01-06 18:31:08 INFO  DriverScraper:24 - OK
2024-01-06 18:31:10 INFO  DriverScraper:24 - OK
2024-01-06 18:31:20 INFO  DriverScraper:24 - OK
2024-01-06 18:37:09 INFO  DriverScraper:24 - OK
2024-01-07 00:59:46 INFO  DriverScraper:24 - OK
2024-01-07 01:01:00 INFO  DriverScraper:24 - OK
2024-01-07 01:01:19 INFO  DriverScraper:24 - OK
2024-01-07 01:01:40 INFO  DriverScraper:24 - OK
2024-01-07 01:04:14 INFO  DriverScraper:24 - OK
2024-01-07 01:04:31 INFO  DriverScraper:24 - OK
2024-01-07 01:04:40 INFO  DriverScraper:24 - OK
2024-01-07 01:04:46 INFO  DriverScraper:24 - OK
2024-01-07 01:08:15 INFO  DriverScraper:24 - OK
2024-01-07 11:32:01 INFO  DriverScraper:24 - OK
2024-01-07 11:39:43 INFO  DriverScraper:24 - OK
2024-01-07 11:42:57 INFO  DriverScraper:24 - OK
2024-01-07 11:46:24 INFO  DriverScraper:24 - OK
2024-01-07 11:48:26 INFO  DriverScraper:24 - OK
2024-01-07 11:49:08 INFO  DriverScraper:24 - OK
2024-01-07 11:50:41 INFO  DriverScraper:24 - OK
2024-01-07 11:53:37 INFO  DriverScraper:24 - OK
2024-01-07 11:53:42 INFO  DriverScraper:24 - OK
2024-01-07 11:53:44 INFO  DriverScraper:24 - OK
2024-01-07 11:53:48 INFO  DriverScraper:24 - OK
2024-01-07 11:54:02 INFO  DriverScraper:24 - OK
2024-01-07 11:55:29 INFO  DriverScraper:24 - OK
2024-01-07 11:55:35 INFO  DriverScraper:24 - OK
2024-01-07 11:55:38 INFO  DriverScraper:24 - OK
2024-01-07 11:56:37 INFO  DriverScraper:24 - OK
2024-01-07 11:57:38 INFO  DriverScraper:24 - OK
2024-01-07 11:58:39 INFO  DriverScraper:24 - OK
2024-01-07 20:28:57 INFO  DriverScraper:24 - OK
2024-01-07 20:31:24 INFO  DriverScraper:24 - OK
2024-01-07 20:31:33 INFO  DriverScraper:24 - OK
2024-01-07 20:31:36 INFO  DriverScraper:24 - OK
2024-01-07 20:32:25 INFO  DriverScraper:24 - OK
2024-01-07 20:49:10 INFO  DriverScraper:24 - OK
2024-01-07 20:44:00 INFO  DriverScraper:24 - OK
2024-01-07 20:46:28 INFO  DriverScraper:24 - OK
2024-01-07 20:46:30 INFO  DriverScraper:24 - OK
2024-01-07 20:46:35 INFO  DriverScraper:24 - OK
2024-01-07 20:46:42 INFO  DriverScraper:24 - OK
2024-01-07 20:46:44 INFO  DriverScraper:24 - OK
2024-01-07 20:46:49 INFO  DriverScraper:24 - OK
2024-01-07 20:46:58 INFO  DriverScraper:24 - OK
2024-01-07 20:47:01 INFO  DriverScraper:24 - OK
2024-01-07 20:47:04 INFO  DriverScraper:24 - OK
2024-01-07 20:47:09 INFO  DriverScraper:24 - OK
2024-01-07 20:47:12 INFO  DriverScraper:24 - OK
2024-01-07 20:47:17 INFO  DriverScraper:24 - OK
2024-01-07 20:47:22 INFO  DriverScraper:24 - OK
2024-01-07 20:47:26 INFO  DriverScraper:24 - OK
2024-01-07 20:47:28 INFO  DriverScraper:24 - OK
2024-01-07 20:47:33 INFO  DriverScraper:24 - OK
2024-01-07 20:47:41 INFO  DriverScraper:24 - OK
2024-01-07 20:47:48 INFO  DriverScraper:24 - OK
2024-01-07 20:51:47 INFO  DriverScraper:24 - OK
2024-01-07 20:51:51 INFO  DriverScraper:24 - OK
2024-01-07 20:51:55 INFO  DriverScraper:24 - OK
2024-01-07 20:53:41 INFO  DriverScraper:24 - OK
2024-01-07 20:55:40 ERROR RacesScraper:200 - Błąd przy wczytywaniu obrazu: 1max-verstappen.png
2024-01-07 20:56:51 INFO  DriverScraper:24 - OK
2024-01-07 20:59:13 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/oscar-piastri.html
2024-01-07 20:59:17 INFO  DriverScraper:24 - Scrapowanie informacji z: https://www.formula1.com/en/drivers/lando-norris.html
2024-01-07 21:02:08 INFO  RacesScraper:14 - Start scraping from https://www.formula1.com/en/results.html/2020/races.html
2024-01-07 21:02:09 INFO  RacesScraper:19 - OK
2024-01-07 21:05:28 INFO  RacesScraper:14 - Scrapowanie informacji z: https://www.formula1.com/en/results.html/2020/races.html
2024-01-07 21:05:28 INFO  RacesScraper:19 - OK
